"race" "natcrime"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" "About Right"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "Too Much"
"White" "Too Little"
"White" "About Right"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Much"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" "Too Much"
"White" "About Right"
"White" "Too Little"
"White" "Too Much"
"White" "Too Much"
"White" "Too Little"
"White" "About Right"
"Black" "Too Little"
"Black" "Too Little"
"Black" "Too Little"
"Black" "Too Little"
"Black" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "About Right"
"White" NA
"White" "Too Little"
"White" "About Right"
"White" "About Right"
"White" "About Right"
"White" "About Right"
"White" NA
"White" "Too Little"
"White" NA
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" NA
"White" "Too Little"
"White" "Too Little"
"White" "Too Much"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" NA
"White" "Too Little"
"White" "About Right"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "About Right"
"White" "Too Much"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Much"
"Black" "Too Little"
"Black" "Too Little"
"Black" "Too Much"
"Black" "Too Little"
"Black" "About Right"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"Black" "Too Little"
"White" "About Right"
"White" "Too Little"
"Other" "Too Little"
"White" "About Right"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" NA
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" NA
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" "About Right"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" NA
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" NA
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"Black" "About Right"
"Black" "About Right"
"Black" NA
"White" "Too Little"
"Black" "Too Little"
"Black" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" NA
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"Black" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" NA
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"Other" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" NA
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"Black" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" NA
"White" "Too Little"
"White" "About Right"
"Black" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "About Right"
"White" "About Right"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"Other" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" NA
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "Too Little"
"White" "About Right"
"White" "Too Little"
"White" "Too Little"
